buyer_id,buyer_name,buyer_type,contact_person,phone_number,email,district,registration_number,blockchain_wallet,is_active,loaded_at
BYR00046,"Johnson, Edwards and Flores Agro",Exporter,Shannon Mayer DDS,0702219903,shannon.mayer.dds@hotmail.com,Moroto,REG/2022/8310,0x2b02a168cdcdc8f023114e1cf0307ef99b3cc13d,True,2025-12-06 15:51:22
BYR00047,Robinson Inc Foods,Exporter,Dominique Beard,0701406148,dominique.beard@hotmail.com,Kitgum,REG/2023/2316,0x5f291417ebf78f75c2b6d4dd241ea46bcf919be8,True,2025-12-06 15:51:22
BYR00048,Daniel Inc Trading,Retailer,Ryan Griffith,0750283377,ryan.griffith@yahoo.com,Gulu,REG/2021/7574,0x9a193c0cbff8064d25e6ad75f4521bfc45755b32,True,2025-12-06 15:51:22
BYR00049,Carroll-Lewis Agro,Retailer,Sandra Orr,0752293087,sandra.orr@hotmail.com,Sironko,REG/2022/5910,0xbac1ffda37557939e90eecb40a6a0caeb59c67b2,True,2025-12-06 15:51:22
BYR00050,Leon Group Foods,Wholesaler,Steven Salinas,0701479254,steven.salinas@gmail.com,Kampala,REG/2017/2858,0x4a72cdcf46a993ad38331012a40bcc859a68f2d2,True,2025-12-06 15:51:22
BYR00051,Kirby-Lee Trading,Wholesaler,Jerry Bryan,0752465150,jerry.bryan@hotmail.com,Kumi,REG/2021/5203,0xe22e5f95cbfcead788e5bb5fe2dcdc428f2f1fe9,True,2025-12-06 15:51:22
BYR00052,Garrett-Saunders Foods,Retailer,Amanda Waters,0703265995,amanda.waters@yahoo.com,Kamuli,REG/2011/7074,0xd5ee0d3d1453e93e8040d595f9102e036440b22d,True,2025-12-06 15:51:22
BYR00053,North Tonya Farmers Coop,Cooperative,Brooke Li,0770741894,brooke.li@gmail.com,Kasese,REG/2023/6839,0x35956edf59b6709e26dd713801969d141efe45fa,True,2025-12-06 15:51:22
BYR00054,"Ford, Barajas and Garcia Agro",Wholesaler,Amanda George,0704567273,amanda.george@yahoo.com,Soroti,REG/2010/1472,0x9861c4f3f61719454dbddd16d78d37b56a433564,True,2025-12-06 15:51:22
BYR00055,Cook-Daniel Foods,Exporter,Stephanie Smith,0703731506,stephanie.smith@yahoo.com,Moroto,REG/2017/5741,0xc1bce963aa6fb3e908933c958cb891177440fdc6,True,2025-12-06 15:51:22
BYR00056,Port William Farmers Coop,Cooperative,Sydney Garrett,0704981349,sydney.garrett@gmail.com,Tororo,REG/2012/1031,0x5bb507ae0e4c539a5d69ff4934835982821cad5c,True,2025-12-06 15:51:22
BYR00057,"Brown, Torres and Wells Limited",Exporter,William Spence,0754764220,william.spence@hotmail.com,Sironko,REG/2017/9022,0x8f336359a10bf9c38d473dceb2ef03a431a6bb59,True,2025-12-06 15:51:22
BYR00058,"Montgomery, Gonzalez and Lewis Agro",Exporter,Christine Brooks,0750786173,christine.brooks@hotmail.com,Mayuge,REG/2018/1833,0x937dc396ad5ddfd4e3dbeb57477ad2b7a28df2ad,True,2025-12-06 15:51:22
BYR00059,Colon-Ramirez Trading,Wholesaler,Jack Castro,0703881950,jack.castro@yahoo.com,Arua,REG/2016/1077,0x88df529a5540fb682175cf0e28fe21b0361261b0,True,2025-12-06 15:51:22
BYR00060,Diazberg Farmers Coop,Cooperative,Mary Valencia,0700950041,mary.valencia@yahoo.com,Sironko,REG/2020/4019,0x48766572d1ff791feb40ec9c88d749c856172966,True,2025-12-06 15:51:22
BYR00061,"Miranda, Williams and Walters Foods",Wholesaler,Emily Brooks,0701718327,emily.brooks@yahoo.com,Fort Portal,REG/2019/7465,0x3b39e3dd0c26ea99695f6a12fbc28daaf4bd05f9,True,2025-12-06 15:51:22
BYR00062,North Lisashire Farmers Coop,Cooperative,Henry Vega,0704655995,henry.vega@yahoo.com,Moroto,REG/2020/7879,0xc874cd3c21877985e98b3cd7cc65744cc277b0cf,True,2025-12-06 15:51:22
BYR00063,"Jacobs, Hudson and Bartlett Agro",Wholesaler,Juan Fernandez,0702962603,juan.fernandez@gmail.com,Rukungiri,REG/2010/2218,0xeb7921537754756f6a7adc3fa8f3c8d58e8be07f,True,2025-12-06 15:51:22
BYR00064,Brianchester Farmers Coop,Cooperative,Gregory Moody,0702469485,gregory.moody@hotmail.com,Kapchorwa,REG/2019/8346,0x5956b0d6730a6e2984086b7cbfe387e9e7394884,True,2025-12-06 15:51:22
BYR00065,Sandoval-Jordan Limited,Retailer,Kristen Lewis,0700410390,kristen.lewis@yahoo.com,Ntungamo,REG/2019/4413,0x5bbbb6d65a0a83fdc4456eb4a07a98b6baf0fe15,True,2025-12-06 15:51:22
BYR00066,Mason-Sosa Foods,Exporter,Melissa Green,0770634229,melissa.green@hotmail.com,Kabarole,REG/2017/4628,0x2b3afe09b7a87e7513f06b78c8e1aed00e3d5ba0,True,2025-12-06 15:51:22
BYR00067,"Watson, Woodward and Pollard Limited",Retailer,Beverly Cabrera,0704402464,beverly.cabrera@hotmail.com,Sironko,REG/2018/1167,0x7bb99a686589a360152f6a09214fe925d12a5200,True,2025-12-06 15:51:22
BYR00068,Weaver-Walker Trading,Processor,John Crane,0751744232,john.crane@gmail.com,Kitgum,REG/2017/8953,0xc5c749d1a4d53fb0dae4d0a76a3cfcaac7fbd630,True,2025-12-06 15:51:22
BYR00069,Gill Inc Trading,Exporter,Mary Martinez,0770450359,mary.martinez@hotmail.com,Kisoro,REG/2023/2844,0x577b33d1858b75501b4007e565c32782094ebfca,True,2025-12-06 15:51:22
BYR00070,"Andrews, Robinson and Smith Foods",Wholesaler,Lynn Melton,0700795624,lynn.melton@gmail.com,Kumi,REG/2012/3970,0x1fee67ad2616ee3b62f362c4f8902c93bcf2d5f5,True,2025-12-06 15:51:22
BYR00071,"Mcgrath, Bishop and Baker Limited",Retailer,Madeline Fitzgerald,0704531032,madeline.fitzgerald@hotmail.com,Iganga,REG/2020/7523,0xd17c052f3bc2e948c18f65f8ae3ee341437917bb,True,2025-12-06 15:51:22
BYR00072,"Robinson, Wilson and Clark Trading",Processor,John Hill,0754114008,john.hill@hotmail.com,Arua,REG/2020/6826,0xdbe81649cc08c03648f16c81c6c8797e69ef4d7a,True,2025-12-06 15:51:22
BYR00073,Ashley-Perez Foods,Exporter,Christopher Morgan,0700236897,christopher.morgan@yahoo.com,Apac,REG/2016/9464,0xb3b1af4e9877b0661c8430a6138c2af0a4771401,True,2025-12-06 15:51:22
BYR00074,Young-Joseph Trading,Exporter,Christopher Woods,0752307501,christopher.woods@yahoo.com,Arua,REG/2010/6039,0xfb3060d3993724abb2a27c03338ac6e5090f7cbb,True,2025-12-06 15:51:22
BYR00075,"Chambers, Davis and Chambers Trading",Wholesaler,Evan Baker,0700246968,evan.baker@gmail.com,Bundibugyo,REG/2023/3398,0x6c8bc0a93a13cd051593b1b097665dcd0f87b09f,True,2025-12-06 15:51:22
BYR00076,Kelly-Cook Foods,Wholesaler,Daniel Johnson,0750676486,daniel.johnson@yahoo.com,Katakwi,REG/2013/7757,0x226ec35ac3794c6c49b05b97c537d74736702a9b,True,2025-12-06 15:51:22
BYR00077,Jones and Sons Agro,Exporter,John Jones IV,0770286347,john.jones.iv@yahoo.com,Soroti,REG/2015/1425,0xbb289dbbf2380bd25bc8c76c9f646df89a271a61,True,2025-12-06 15:51:22
BYR00078,Lake Alexberg Farmers Coop,Cooperative,Jonathan Day,0703839022,jonathan.day@gmail.com,Arua,REG/2016/6218,0xdaddb3601d0259692e8dd903f118cedcbc687fe0,True,2025-12-06 15:51:22
BYR00079,"Schwartz, Patel and Park Foods",Wholesaler,Andrew Johnson,0703929659,andrew.johnson@hotmail.com,Apac,REG/2018/3620,0xb207143f0fabcf728a436b36fcb6b7efdfc44084,True,2025-12-06 15:51:22
BYR00080,"Vasquez, Holder and Higgins Trading",Wholesaler,Ashley Munoz,0752404257,ashley.munoz@gmail.com,Kumi,REG/2017/1952,0xe41c7e60e1cecae749854d68b77d0d2644fef894,True,2025-12-06 15:51:22
BYR00081,Burns-Mcpherson Agro,Processor,Mitchell Thompson,0703968258,mitchell.thompson@yahoo.com,Kabale,REG/2013/9426,0x4fbad22acdf7ec7d50887bc1e70acea02f262e29,True,2025-12-06 15:51:22
BYR00082,Thornton-Bennett Limited,Wholesaler,Jacob Mendoza,0702923073,jacob.mendoza@gmail.com,Rukungiri,REG/2021/3228,0xab50e203d556b07332d9409f3284b9ae5c43332a,True,2025-12-06 15:51:22
BYR00083,East Jackport Farmers Coop,Cooperative,John Evans,0754310657,john.evans@gmail.com,Pallisa,REG/2010/4929,0xf36256f48f20041fab1d0b764096a2dce92ce3ae,True,2025-12-06 15:51:22
BYR00084,Davidmouth Farmers Coop,Cooperative,Jeanne Pratt,0771412663,jeanne.pratt@gmail.com,Wakiso,REG/2014/5660,0x88ffd96fb6e69babd667f088997019eccce7a96f,True,2025-12-06 15:51:22
BYR00085,Cook-Howell Foods,Retailer,Monique Delacruz,0701239887,monique.delacruz@gmail.com,Kasese,REG/2020/8346,0xf9f4f31d194184f3fc9ccbaaafc3dfd81bb85e7d,True,2025-12-06 15:51:22
BYR00086,"Anderson, Hines and Hill Foods",Exporter,Miss Amber Johnston,0703287783,miss.amber.johnston@gmail.com,Kabale,REG/2017/1174,0xd20d95cbb04446448bae6b3182466a5c499019fb,True,2025-12-06 15:51:22
BYR00087,Flores-James Limited,Wholesaler,William Vargas,0703477000,william.vargas@gmail.com,Kampala,REG/2020/6361,0xcc1d7fa857eb8537c48bf993bf92687b83214033,True,2025-12-06 15:51:22
BYR00088,Weiss-Palmer Trading,Retailer,April Sullivan,0753500364,april.sullivan@yahoo.com,Kamuli,REG/2018/1609,0xbf5e37c670d898ac87f7a9bd185a312b5e989014,True,2025-12-06 15:51:22
BYR00089,George-Estrada Agro,Wholesaler,Johnny Castro,0700171863,johnny.castro@yahoo.com,Apac,REG/2020/1806,0x0086f015f82b166ce2c4baee912c5a5995a0e732,True,2025-12-06 15:51:22
BYR00090,Mendoza-Scott Trading,Wholesaler,Mary Mathews,0704940572,mary.mathews@hotmail.com,Katakwi,REG/2014/3878,0xc8a596c9d1028f275d12b7d60b5aba70764c72a7,True,2025-12-06 15:51:22
BYR00091,New James Farmers Coop,Cooperative,Patrick Lee,0704877265,patrick.lee@yahoo.com,Arua,REG/2021/6514,0xe7d8c9f0bd191afbfa24a4ba3e6b5c3c48ebbb1a,True,2025-12-06 15:51:22
BYR00092,"Delgado, Gardner and Snyder Agro",Exporter,David Ferguson,0701949057,david.ferguson@gmail.com,Bushenyi,REG/2022/1859,0x10f6701286365917ee69e8bcc438ef7cb84497cf,True,2025-12-06 15:51:22
BYR00093,Brown Inc Limited,Retailer,Joy Becker,0701184874,joy.becker@hotmail.com,Mbale,REG/2021/3382,0x21ae1959b5ed6c499c7f137824564f24f9dfb72e,True,2025-12-06 15:51:22
BYR00094,"Schwartz, Zuniga and Ross Trading",Exporter,Kristen Wells,0770272433,kristen.wells@gmail.com,Kasese,REG/2011/1820,0x06742e0c6c32f47ab83a50f1318d4f45396e9591,True,2025-12-06 15:51:22
BYR00095,Sullivan-Rhodes Agro,Exporter,James Washington,0704174050,james.washington@yahoo.com,Iganga,REG/2011/1586,0x90d224ad41e19091c4a8cff7bd3552c809305f8b,True,2025-12-06 15:51:22
BYR00096,"Zimmerman, Lindsey and Dudley Limited",Retailer,Ricky Green,0703225516,ricky.green@gmail.com,Nebbi,REG/2011/6760,0xd7b7523f7b63bb2100a85d1e1e5b4f285099c2fe,True,2025-12-06 15:51:22
BYR00097,"Wright, Lucero and Nguyen Agro",Wholesaler,Stephen Paul,0701195512,stephen.paul@gmail.com,Kapchorwa,REG/2023/7953,0xd548e9c114759d530026329ca05497a7b5b3c69a,True,2025-12-06 15:51:22
BYR00098,"Dillon, Young and Carter Trading",Exporter,Scott Mitchell,0702375693,scott.mitchell@gmail.com,Mbarara,REG/2012/8618,0x5683a29e7d6b039b49644066cb855e64fe3ea060,True,2025-12-06 15:51:22
BYR00099,"Young, Kelly and Thomas Limited",Exporter,Brandi Bowers,0704157205,brandi.bowers@yahoo.com,Kitgum,REG/2022/1935,0xe871631896ed2975d9bed139c418ca3fba2e78e5,True,2025-12-06 15:51:22
BYR00100,Thompson LLC Limited,Processor,Tony Davila,0751712003,tony.davila@hotmail.com,Kabarole,REG/2014/7201,0x5f63bc4276ef547aedc1fb3118e6829f461e0b68,True,2025-12-06 15:51:22
BYR00101,Petersenfort Farmers Coop,Cooperative,Jason Collins,0703188095,jason.collins@yahoo.com,Gulu,REG/2011/6588,0xd654c63275d600b1c2ad1fc5318bdc1c3fe91fa5,True,2025-12-06 15:51:22
BYR00102,Larson and Sons Foods,Wholesaler,Jonathan Perez,0701950894,jonathan.perez@gmail.com,Bushenyi,REG/2017/7355,0xbc23fcd4a29cbcdbe635a6a0e5dcf4e39867d400,True,2025-12-06 15:51:22
BYR00103,"Harris, Myers and Vasquez Limited",Retailer,Justin Mann,0753228020,justin.mann@hotmail.com,Rukungiri,REG/2018/5660,0x05d61c9288fcc0bf21f290711d7d90c80dd165aa,True,2025-12-06 15:51:22
BYR00104,Port Christopherstad Farmers Coop,Cooperative,Joshua Gonzales,0753854544,joshua.gonzales@hotmail.com,Bushenyi,REG/2022/8995,0xdf6182361c941564f4e6ef573c0d9e1d802806ee,True,2025-12-06 15:51:22
BYR00105,Henderson-Mcintyre Limited,Wholesaler,Ann Reed DDS,0753870545,ann.reed.dds@yahoo.com,Soroti,REG/2021/2559,0xa6a9a3d4a48763dd15c36637e6c531a23f20f579,True,2025-12-06 15:51:22
BYR00106,Lee Group Limited,Processor,Harold Conway,0752999005,harold.conway@gmail.com,Sironko,REG/2011/5316,0x7784c0fb7c36d2d31c0df38b5d2bf39fb90791a8,True,2025-12-06 15:51:22
BYR00107,Rodriguez-Daugherty Trading,Wholesaler,Ashley Wilson,0752418440,ashley.wilson@hotmail.com,Kitgum,REG/2022/4203,0x7fb6dae4009dd4619fe4aedae60b96d570727882,True,2025-12-06 15:51:22
BYR00108,Wilcox Inc Agro,Exporter,Jennifer Summers,0703118871,jennifer.summers@gmail.com,Kampala,REG/2017/6526,0xa0b8a4c3a33f0569644732ffd885fe4781c1cf41,True,2025-12-06 15:51:22
BYR00109,"Bryan, Rodriguez and Hicks Limited",Processor,Kristina Schwartz,0751567104,kristina.schwartz@yahoo.com,Kumi,REG/2011/7984,0xbeb5f3d08dc0129c224b93c673e8ded6e036da3c,True,2025-12-06 15:51:22
BYR00110,Armstrong-Alvarado Foods,Retailer,Amanda Simon,0752368976,amanda.simon@hotmail.com,Bushenyi,REG/2011/4094,0x010dcfbdf6e7e52fd7f53b216800ac8ba29686cd,True,2025-12-06 15:51:22
BYR00111,"Sanchez, Erickson and Moore Limited",Wholesaler,Alexander Jones,0700778535,alexander.jones@hotmail.com,Iganga,REG/2019/1828,0x3a6949607248cfe6c7d2271b70d7b78839cf7c1b,True,2025-12-06 15:51:22
BYR00112,Patterson-Brown Trading,Retailer,Sharon Landry,0751482541,sharon.landry@gmail.com,Mukono,REG/2018/5933,0xb6036bff8e2abd0ceedcf88e2c488c8fed74aa27,True,2025-12-06 15:51:22
BYR00113,Bowen Inc Limited,Exporter,Kevin Rogers,0771591744,kevin.rogers@hotmail.com,Mbarara,REG/2016/6180,0x9a938fc08a5c70695329fbfc9e6668d37ee9ad34,True,2025-12-06 15:51:22
BYR00114,Stevensburgh Farmers Coop,Cooperative,Gina Jackson,0754352570,gina.jackson@yahoo.com,Sironko,REG/2012/3738,0xe14e45bfa6904448e701e8c33b9930681fff89d1,True,2025-12-06 15:51:22
BYR00115,"Davis, Brewer and Rodriguez Trading",Retailer,Karen Morrow,0700544047,karen.morrow@gmail.com,Fort Portal,REG/2011/9519,0x51d6b04f42c38854e0a911abbca224a000e719e8,True,2025-12-06 15:51:22
BYR00116,"Nash, Cortez and Butler Limited",Wholesaler,Jennifer Hernandez,0702564834,jennifer.hernandez@gmail.com,Tororo,REG/2023/8853,0x6d58572fd57e1f026dd231a35fa2bdf0b986565c,True,2025-12-06 15:51:22
BYR00117,Murphybury Farmers Coop,Cooperative,Jamie Garcia,0770846967,jamie.garcia@yahoo.com,Iganga,REG/2014/4709,0xc45ad1de7e153a17c4184d286dc87f4d4c7992ae,True,2025-12-06 15:51:22
BYR00118,West Sherishire Farmers Coop,Cooperative,Katherine Jordan,0771509372,katherine.jordan@gmail.com,Kumi,REG/2016/8102,0xe067b2addc61768952ada29ff6918fac32815f58,True,2025-12-06 15:51:22
BYR00119,New James Farmers Coop,Cooperative,Laura Patterson,0700243969,laura.patterson@yahoo.com,Hoima,REG/2020/6392,0xf9014f34aacd24be66fbd0a6b13b378507374216,True,2025-12-06 15:51:22
BYR00120,"Lopez, Jimenez and Mcdowell Foods",Exporter,Anthony Shaw,0770480512,anthony.shaw@yahoo.com,Sironko,REG/2013/3292,0xe272646d12b9204e060482c543ae3598786e88a9,True,2025-12-06 15:51:22
BYR00121,Johnsonberg Farmers Coop,Cooperative,Lindsey Nguyen,0771644958,lindsey.nguyen@yahoo.com,Kasese,REG/2019/5640,0xe01a808e7acef3a2ab3ff1139e27e330f41d3f2d,True,2025-12-06 15:51:22
BYR00122,Carter-Hays Foods,Retailer,Tammy Poole,0701685372,tammy.poole@yahoo.com,Pallisa,REG/2017/4814,0xd32421b519d9dae6d09b691ffd6c728ddf1bcd2b,True,2025-12-06 15:51:22
